ID_POJAZDU,ROCZNIK,CENA,VIN,DATA_REJ,DATA_PRZ,POWYPADKOWY,NR_REJ,SILNIK,MOC,ID_NADWOZIE,ID_PALIWA,ID_KRAJU,ID_MODELU,ID_KOLORU,PRZEBIEG
2,1999,4500,brak,2001-03-05T00:00:00,2010-12-28T00:00:00,nie,KRA21312,1.9,60,2,3,1,2,3,184000
1,2019,210000,1FA545235KSDFSF32,2019-09-20T00:00:00,2020-12-28T00:00:00,nie,KK 43232,2.0,210,1,1,10,3,4,199999
3,2005,12500,brak,2006-12-17T00:00:00,2010-12-28T00:00:00,nie,RBR12323,2.0,90,3,1,15,40,1,30250
4,2001,4200,brak,2001-04-22T00:00:00,2010-12-28T00:00:00,nie,CZN32112,1.9,110,2,1,10,32,1,150000
5,2007,12555,1ASD43KAKSDK23231,2007-05-20T00:00:00,2010-12-28T00:00:00,nie,KWI21151,1.9,120,1,2,9,13,2,210000
6,2010,21500,1AASDASDASDASDASD,2011-07-24T00:00:00,2012-12-28T00:00:00,tak,LU 15010,1.9,110,4,2,5,21,5,140000
7,2009,34100,brak,2009-02-13T00:00:00,2010-12-28T00:00:00,nie,NOL41010,3.0,180,2,3,7,22,1,220500
8,2018,195500,1ASD34234AKKJ4335,2018-01-30T00:00:00,2019-12-28T00:00:00,nie,KK 20101,3.0,180,4,4,11,3,2,31000
9,2017,175000,1ASKDJFAOFSAMF342,2017-11-11T00:00:00,2018-12-28T00:00:00,nie,KK 31010,3.0,120,1,5,7,3,4,41111
10,2019,245000,1ASDFIJ35325KKAF3,2019-03-26T00:00:00,2020-12-28T00:00:00,nie,KR 21231,2.0,110,1,1,2,3,4,27000
11,2009,30000,1ASDKJ35i9935KKMA,2009-07-03T00:00:00,2010-12-28T00:00:00,nie,NO 12311,2.0,110,1,2,9,3,1,210000
12,2012,42120,1AFSJFI24124kNFJO,2013-03-12T00:00:00,2014-12-28T00:00:00,tak,GWE41244,1.6,75,5,2,8,4,2,147500
13,2019,260000,1FAKSIJOFN35235KN,2020-02-07T00:00:00,2020-12-29T00:00:00,nie,RKR21415,3.0,75,1,3,10,6,4,27500
14,1997,4000,brak,1998-05-07T00:00:00,2000-12-28T00:00:00,nie,CZN12341,1.4,75,7,3,7,11,9,310000
15,1998,4200,brak,1999-04-25T00:00:00,2000-12-28T00:00:00,nie,FSD15251,1.2,75,7,1,11,17,5,231000
16,1996,3100,brak,1996-05-02T00:00:00,2000-12-28T00:00:00,nie,ELA51352,1.2,75,7,1,11,17,6,265000
17,2007,14500,1SDGJOJHOJSDNGSOD,2007-10-06T00:00:00,2010-12-28T00:00:00,nie,EL 12412,5.0,250,5,1,5,21,8,330000
18,2014,85000,1AIUFIABNSF6463OJ,2014-12-03T00:00:00,2015-12-29T00:00:00,nie,RKR12415,5.0,180,5,2,16,21,10,165000
19,2019,210000,1AJDFBOAPSFBNFAFO,2019-09-30T00:00:00,2020-10-29T00:00:00,nie,RKR21453,2.0,75,7,2,12,31,1,12500
20,2016,185000,1OAUHPSFNAPSKFPAK,2016-04-04T00:00:00,2020-12-29T00:00:00,nie,KRA85092,2.0,60,7,2,15,31,9,74000
21,2008,21500,1OIAPHSDOAHSDKASD,2009-02-06T00:00:00,2010-12-29T00:00:00,nie,KRA08141,1.2,82,7,2,13,34,7,145000
22,2012,41500,1JAIPDNSBASMDASDA,2013-02-27T00:00:00,2014-12-29T00:00:00,nie,LU 12041,2.0,82,2,1,15,33,1,178900
23,1997,1215,brak,1998-03-05T00:00:00,2000-12-29T00:00:00,tak,RJS81742,1.9,60,1,1,17,49,8,415000
24,2002,8900,1ASDJJASBDKJNASDS,2002-02-05T00:00:00,2005-12-29T00:00:00,nie,RJS01924,1.6,60,7,2,15,48,1,275000
25,2008,24500,1AJISBDAJSDLASDAS,2010-03-28T00:00:00,2010-12-29T00:00:00,nie,KRA95323,2.0,110,2,3,3,13,1,194000
26,2015,110000,1AOSJHDONAJSDKASD,2015-02-20T00:00:00,2016-12-29T00:00:00,nie,KR 81724,1.6,60,7,2,17,48,1,78900
27,2009,25000,1OJANSDJNASLDKMAS,2009-02-21T00:00:00,2010-12-29T00:00:00,nie,KWI81741,2.8,160,2,1,17,28,2,180500
28,1996,4400,1AJSBDONASNDGAFSA,1997-12-13T00:00:00,2000-12-29T00:00:00,nie,RJS41042,1.4,60,7,3,3,18,3,314000
29,2004,6500,1ASJODNASJDASDADS,2004-03-13T00:00:00,2005-12-29T00:00:00,nie,RJS12401,1.6,60,7,4,3,18,7,245000
30,2016,101250,1ASJNDLAJSNDLKA34,2016-12-26T00:00:00,2017-12-29T00:00:00,tak,KRA41248,3.0,210,1,5,10,4,2,32200
31,2012,44000,1AIUGSDIABS65865S,2012-03-07T00:00:00,2013-12-29T00:00:00,nie,KK 12948,2.0,200,7,2,6,4,1,117000
32,2017,123900,1AHIBSDJA68AHKSDB,2017-03-13T00:00:00,2020-12-29T00:00:00,nie,KRA18512,3.0,160,2,1,14,6,5,49000
33,2007,62200,1AHSBDAJSNDLKASMD,2008-02-27T00:00:00,2010-12-29T00:00:00,nie,RBR12412,1.9,200,7,2,15,36,2,215000
34,2012,44400,1AJSDNNASDKASDASD,2012-04-02T00:00:00,2013-12-29T00:00:00,nie,KK 51231,2.0,110,2,1,10,36,7,174000
35,1998,2500,brak,1999-03-27T00:00:00,2000-12-29T00:00:00,nie,LU 41212,1.4,60,4,1,16,41,9,215000
36,2005,9500,1AUHSDONASDKASDAS,2005-01-08T00:00:00,2006-12-29T00:00:00,nie,KRA41121,2.0,110,2,2,6,45,10,189000
37,2004,8400,1AUHSDONASDKASDAS,2004-01-10T00:00:00,2005-12-29T00:00:00,nie,KR 12512,2.0,110,1,1,10,45,8,235000
38,2007,12300,1AUHSDONASDKASDAS,2007-02-19T00:00:00,2010-12-29T00:00:00,nie,KR 14215,1.9,75,4,2,10,41,7,194000
39,1999,1620,brak,2000-05-06T00:00:00,2000-12-29T00:00:00,tak,RJS51521,1.9,75,1,1,10,3,1,357000
40,2012,42000,1AUHSDONASDKASDAS,2012-07-02T00:00:00,2013-12-29T00:00:00,nie,RJS15251,1.2,60,6,2,3,3,2,215000
41,2008,33300,1AUHSDONASDKASDAS,2009-03-26T00:00:00,2010-12-29T00:00:00,nie,KK 54125,1.2,60,7,2,2,30,1,180000
42,2005,13500,1AUHSDONASDKASDAS,2005-11-05T00:00:00,2010-12-29T00:00:00,nie,RBR14125,1.2,60,6,2,14,30,1,310000
43,2012,32000,1AUHSDONASDKASDAS,2012-08-04T00:00:00,2013-12-29T00:00:00,nie,RKR51251,1.9,100,7,1,10,15,7,185000
44,2013,37500,1AUHSDONASDKASDAS,2013-01-01T00:00:00,2014-12-29T00:00:00,nie,KRA21415,2.0,110,7,1,10,16,3,150000
45,2001,6500,1AUHSDONASDKASDAS,2001-03-31T00:00:00,2003-12-29T00:00:00,nie,KK 14251,3.0,150,7,2,10,14,1,410000
46,2004,9900,1AUHSDONASDKASDAS,2004-05-27T00:00:00,2005-12-29T00:00:00,nie,KRA51325,3.0,150,1,3,8,32,1,254000
47,1999,5000,brak,2000-08-13T00:00:00,2000-12-29T00:00:00,nie,KRA51215,1.6,75,8,4,8,12,2,310000
48,1981,2500,brak,1996-08-13T00:00:00,2000-12-29T00:00:00,nie,RJS14224,1.6,75,7,4,16,49,3,425000
49,2009,42500,1AUHSDONASDKASDAS,2010-07-10T00:00:00,2010-07-10T00:00:00,nie,RZE42141,2.0,110,5,5,1,24,2,210000
50,2012,50000,1AUHSDONASDKASDAS,2012-05-07T00:00:00,2020-12-29T00:00:00,nie,RZE52552,1.9,75,2,3,11,9,7,131000
51,2004,14500,1AUHSDONASDKASDAS,2005-07-03T00:00:00,2020-12-29T00:00:00,nie,RBR15315,2.0,110,1,3,14,23,4,200000
52,2012,36500,1AUHSDONASDKASDAS,2012-05-08T00:00:00,2020-12-29T00:00:00,nie,RKR52626,1.9,75,1,3,2,23,3,130000
53,2004,9400,1AUHSDONASDKASDAS,2004-07-10T00:00:00,2020-12-29T00:00:00,nie,KRA51251,2.0,120,4,4,2,38,4,215000
54,2007,12300,1AUHSDONASDKASDAS,2007-08-14T00:00:00,2020-12-29T00:00:00,nie,RZE25126,2.0,120,4,3,13,49,5,211000
55,2014,29160,1AUHSDONASDKASDAS,2014-05-22T00:00:00,2020-12-29T00:00:00,tak,RZE15251,1.4,60,4,4,13,49,4,95000
56,2013,48000,1AUHSDONASDKASDAS,2013-07-24T00:00:00,2020-12-29T00:00:00,nie,KRA15215,1.4,60,2,1,11,48,3,131000
57,2015,65555,1AUHSDONASDKASDAS,2015-05-29T00:00:00,2020-12-29T00:00:00,nie,KRA15211,1.4,60,5,1,4,3,2,125000
58,2000,6700,1AUHSDONASDKASDAS,2000-04-29T00:00:00,2020-12-29T00:00:00,nie,KRA51522,2.0,150,4,5,5,12,1,310000
59,2015,67300,1AUHSDONASDKASDAS,2015-04-18T00:00:00,2020-12-29T00:00:00,nie,LU 15315,2.0,120,4,2,2,34,3,120000
60,2010,34200,1AUHSDONASDKASDAS,2010-05-16T00:00:00,2020-12-29T00:00:00,nie,RBR12414,1.9,82,4,2,10,3,2,275000
61,2023,189525,VIN12345678,2023-01-01T00:00:00,2023-01-02T00:00:00,nie,RKR21375,2.0,220,1,1,4,10,4,350
